Site,Stratum,Genus,Species,LifeForm,LeafHabit,LL,nLL,Aarea,Amass,Rarea,Rmass,Narea,Nmass,Parea,Pmass,LMA,LT,LD,CellPerVol
SL,canopy,Marcgravia,nepenthoides,hemiepiphyte,NA,615,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA
SL,canopy,Marila,laxiflora,tree,evergreen,424,35,11.1,0.1223,0.236,0.0026,1.361,0.015,0.077,0.00084,90.76,0.19375,0.468457815,NA
SL,understory,Marila,laxiflora,tree,evergreen,870.5,130,3.245,0.1264,0.555,0.02162,0.407,0.0159,0.029,0.00113,25.67,0.13125,0.195579163,NA
SL,canopy,Maripa,panamensis,liana,evergreen,356.5,62,16.493,0.2061,1.2145,0.01517,1.138,0.0142,0.079,0.00099,80.03,0.35,0.228671278,0.056
SL,canopy,Mascagnia,hippocrateoi,liana,evergreen,224.5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA
SL,canopy,Miconia,borealis,treelet,evergreen,189,74,12.31,0.1473,1.29,0.01543,1.86,0.0223,0.084,0.00101,83.58,0.18,0.464359629,0.036
SL,canopy,Nectandra,umbrosa,tree,evergreen,462,77,9.743,0.0778,1.03,0.00823,1.68,0.0134,0.085,0.00068,125.15,0.26,0.481364675,0.055
SL,canopy,Ocotea,ira,tree,evergreen,429,96,14.175,0.1105,0.705,0.0055,2.089,0.0163,0.099,0.00077,128.26,0.3,0.427530765,0.062
SL,understory,Ocotea,ira,tree,evergreen,1128,5,7.293,0.1517,0.789,0.01641,0.628,0.0131,0.049,0.00102,48.08,NA,NA,NA
SL,canopy,Odontadenia,ponticulosa,liana,evergreen,259,20,13.625,0.1684,1.1445,0.01415,1.416,0.0175,0.07,0.00087,80.89,0.32,0.252780243,0.04
SL,canopy,Omphalea,diandra,liana,evergreen,335,42,15.525,0.2193,1.0155,0.01434,1.442,0.0204,0.096,0.00135,70.81,0.39,0.181554085,0.028
SL,canopy,Paullinia,fibrigera,liana,evergreen,599,70,5.548,0.1138,0.3395,0.00696,0.92,0.0189,0.069,0.00141,48.77,0.22,0.221663419,0.031
SL,canopy,Pera,arborea,tree,evergreen,239,122,13.4,0.1536,1.35,0.01547,1.87,0.0214,0.09,0.00103,87.26,0.295,0.295782047,0.035
SL,canopy,Perebea,xanthochyma,treelet,evergreen,421,12,10.528,0.1173,0.5555,0.00619,1.42,0.0158,0.087,0.00097,89.74,0.30875,0.290655071,NA
SL,understory,Perebea,xanthochyma,treelet,evergreen,626.5,128,6.795,0.2197,NA,NA,0.549,0.0178,0.032,0.00102,30.93,0.18,0.171842205,NA
SL,canopy,Phryganocydi,corymbosa,liana,evergreen,324,62,13.4,0.1499,1.39,0.01555,1.305,0.0146,0.076,0.00085,89.37,0.34,0.262843338,NA
SL,canopy,Piper,arboreum,treelet,evergreen,608,53,14.35,0.2803,0.358,0.00699,1.614,0.0315,0.065,0.00127,51.19,0.31,0.165117483,NA
SL,canopy,Pleonotoma,variabilis,liana,evergreen,179,14,12.1,0.1164,0.8355,0.00803,1.535,0.0148,0.07,0.00067,103.99,0.27,0.385145872,NA
SL,understory,Pleonotoma,variabilis,liana,evergreen,316,24,1.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Poulsenia,armata,tree,evergreen,285,113,12.825,0.1066,1.78,0.0148,2.285,0.019,0.151,0.00125,120.31,0.386667,0.31113518,0.063
