"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"mu2[71]",2.31208401877058,0.00350262831620067,0.123606873524139,2.13663487625908,2.23912921106798,2.29123565964856,2.35666612172366,2.63193800464434,1245.366372496,1.00344269643192
"mu2[72]",2.89106491951281,0.00143447010758997,0.0785691635993889,2.73402763996304,2.83870148955055,2.89249747766277,2.94211051174575,3.04936022741878,3000,0.999604313003598
"mu2[73]",2.24192118180157,0.00330529245963421,0.131484329473106,2.03166553098357,2.1597187048512,2.2237305314565,2.29746094915359,2.58895778866185,1582.44347587674,1.0015197912845
"mu2[74]",1.68376477068451,0.00270465370124951,0.123311998499956,1.45753724886031,1.60366366979592,1.67913739892235,1.75448320362586,1.95653461337415,2078.6785721913,0.999953206888692
"mu2[75]",2.15967816646373,0.00164932873928626,0.0903374555248641,1.98905039942352,2.0994871699885,2.16016896477903,2.22081514054766,2.32991819912636,3000,0.999756221142035
"mu2[76]",1.44812520469152,0.00406530224962085,0.165082419779415,1.20471778445524,1.33485384954,1.41900286303003,1.52858815508438,1.851923690102,1648.98221508348,1.00031948214233
"mu2[77]",2.3509062393735,0.00330357336707807,0.110910504637704,2.1547507972047,2.28062037166704,2.34617832556671,2.41367948919352,2.58965294828743,1127.13893030702,1.00122661248763
"mu2[78]",2.18971450794768,0.00438107842114571,0.154576488656517,1.97202262945589,2.08443385904904,2.1560242756658,2.26210490702147,2.5754508058899,1244.87235080587,1.00290114677987
"mu2[79]",2.26617093099036,0.00257169163725531,0.106128749839586,2.10381791999568,2.19663522932779,2.25210045586462,2.31637540667006,2.52543912813883,1703.05358017972,1.0018315408795
"mu2[80]",1.54855381856532,0.00457752468890005,0.180694890997466,1.28816278936268,1.43221799356718,1.51516460418208,1.62468057303112,2.02074220538011,1558.22567551188,1.00014991766356
"mu2[81]",2.45853530159731,0.00269372884389131,0.0924737428270036,2.28492958221401,2.39767433717145,2.45894880729637,2.5165153916959,2.64288437904507,1178.49872873178,1.00062550407885
"mu2[82]",2.31550245088701,0.00411226243646652,0.121262191894759,2.11705319269424,2.23965347591445,2.3034544965006,2.36984195443415,2.59621093858155,869.539235091249,1.00256069812347
"mu2[83]",2.93335535060934,0.00338367247944666,0.133243750778366,2.71313362822494,2.84910296901304,2.92057704243746,2.99755428429926,3.24176020228909,1550.66170131793,1.00118368531664
"mu2[84]",2.22259902992094,0.00261217978131198,0.11743265959665,2.04157501677476,2.14536319020241,2.20585895759672,2.27879538770808,2.49659052149091,2021.02490996744,1.00141100497267
"mu2[85]",2.17619950123646,0.00498721264301953,0.168792676613473,1.94003998373355,2.06042172122571,2.14462239538089,2.25564750307331,2.6143210057724,1145.49033239007,1.00162577365094
"mu2[86]",1.59808144836444,0.00644994952909909,0.246263601403748,1.28426701345322,1.42608098328043,1.53540061151848,1.71689719796034,2.22148318220743,1457.76601134752,1.00164795483091
"mu2[87]",1.69446964406624,0.00202372301126499,0.0895560526042579,1.52042520803243,1.6347937856934,1.69420792560467,1.75225311341344,1.87144249124304,1958.33842593169,0.999342206991285
"mu2[88]",2.35402739945566,0.00175041707583579,0.0728407906371284,2.22251075549487,2.30608308901597,2.34913187625298,2.39721742046364,2.50173708073364,1731.67433178643,1.00143210985702
"mu2[89]",2.25269629631883,0.00267617526756249,0.112124168834104,2.0798025403756,2.18022282901118,2.23823273270756,2.30614392959891,2.52758631048382,1755.3728132806,1.00035997822954
"mu2[90]",2.30433516445884,0.00254745012365426,0.101417125755003,2.14040761419421,2.24299792456536,2.29567884891873,2.35286584272455,2.50888076886942,1584.93412690103,0.999542271772452
"mu2[91]",1.41532121693631,0.003917276559322,0.15709211516178,1.18696090495118,1.31012228352321,1.38731337715029,1.49042478527757,1.82992611276917,1608.20092291578,1.00124817156289
"mu2[92]",2.22194693547824,0.00160712140595162,0.0880256646689119,2.04951250728565,2.16295574395665,2.22187137789731,2.28076609367019,2.39354672050906,3000,0.999687354805542
"mu2[93]",1.53708647045672,0.00396940472404848,0.170888798173347,1.27907846491901,1.42971880046448,1.50686577296062,1.61064063952912,1.96211104241272,1853.43101659692,1.00260209112065
"mu2[94]",2.11824565488584,0.00525785911469009,0.152548795301454,1.89077862988227,2.01095204172043,2.09960483008608,2.19529286938473,2.48963123854875,841.782077273153,1.00121426944537
"mu2[95]",1.59270045406652,0.00336856182690424,0.138271491584807,1.3779037438842,1.50518855659963,1.5737155481825,1.65472856828331,1.93838446179766,1684.90822306547,0.999688795997679
"mu2[96]",2.2974236467226,0.00194117302917141,0.0911132913463593,2.13105957960662,2.23831128734596,2.29402781796078,2.35162067782595,2.48639427184032,2203.10386988151,1.00086087102678
"mu2[97]",2.37295143965816,0.00269540092447903,0.0991911351510761,2.19159782180916,2.30671665562218,2.36853457674354,2.43028972553946,2.57398822960924,1354.2504070752,0.999816697000945
"mu2[98]",2.90820728662235,0.00324836473011518,0.12506266175334,2.68971196382258,2.82733639888022,2.90040175928551,2.97706614882212,3.1826319357493,1482.26468822097,1.00141290648238
"mu2[99]",2.16576516507051,0.0037381675719949,0.156724407321054,1.94319486358745,2.06314961745376,2.13660869179858,2.24076852404594,2.57153875300751,1757.74447229453,1.00243550342897
"mu2[100]",2.75015164456458,0.00279843219789015,0.0986730314815619,2.56508344015541,2.68645950462277,2.74563811475977,2.80881669237157,2.95825118022549,1243.2754669933,1.00060065810185
"mu2[101]",2.16166283158582,0.00935095724935877,0.244785913999193,1.83996584209611,1.98405785809618,2.10582852873325,2.27768059553728,2.76877464151311,685.268396286826,1.00125626490028
"mu2[102]",1.60874470732365,0.0029644138348547,0.116421376697797,1.39938360517022,1.53595948143292,1.60103462568058,1.67512282148218,1.85883746825495,1542.36726145826,0.999936032987748
"mu2[103]",2.04848544693667,0.00255577866377531,0.116215328293854,1.85153322106649,1.97460802114262,2.03916103932681,2.10907083205696,2.30553077697053,2067.66580897762,1.00092362946783
"mu2[104]",2.41912296355933,0.00223076406980783,0.0907728872966774,2.25409026558005,2.35987261071387,2.41749782067792,2.47226315661242,2.60585499057325,1655.78909369051,0.999691680101223
"mu2[105]",3.16063817061484,0.00186040277222667,0.101898456439369,2.9497493294646,3.09547461741443,3.16033677609362,3.22942667709922,3.35618798366631,3000,0.999788945692314
"mu2[106]",2.84935030337146,0.00311665644523863,0.100844942687072,2.67529693129927,2.78704399598234,2.84316011400706,2.90458826037925,3.0702381670008,1046.96070850715,1.00556317273951
"mu2[107]",2.46130381125397,0.00148107309566716,0.0697544246736773,2.33346320884479,2.41574325573786,2.458143072118,2.50358477218033,2.60224257977934,2218.14808409036,1.00036575248521
"mu2[108]",1.52846122231964,0.00548946504099571,0.191372481215095,1.25968599140678,1.39534147073857,1.48781690585469,1.62029109943548,2.02190549521504,1215.34317941833,1.00137379171338
"mu2[109]",1.5163810938266,0.00449556576365795,0.165280544111114,1.27759371723321,1.40445494900688,1.486864449742,1.59808950139739,1.92701526787706,1351.68270664178,1.00232155875323
"mu2[110]",2.48196091185009,0.00244227894435551,0.106621372864858,2.27536336252702,2.40916964230897,2.48214023007832,2.55532472416184,2.68908998379424,1905.89078343293,1.00095913321848
"mu2[111]",2.41850365434686,0.00337062782832221,0.108779869217525,2.20315573531736,2.34486582252895,2.41865759145617,2.49134681358725,2.62830363082409,1041.53881776089,1.00041921896167
"mu2[112]",3.32304274350599,0.00144592312549643,0.0791964712252768,3.16876313817557,3.26976636673628,3.32437893311634,3.3768818086769,3.47514045732242,3000,1.00038954610705
"mu2[113]",1.59365287657517,0.00273189679958534,0.122230669903643,1.37116160617912,1.51630469790726,1.5895198239872,1.6606199091447,1.86129025654783,2001.85125772052,0.999205625239
"mu2[114]",1.55659990954859,0.00257543951852168,0.124214005362037,1.34495424314322,1.47646907360547,1.54523509717981,1.62339746141239,1.8540873399542,2326.15377618654,1.00029170964196
"mu2[115]",1.98082329723068,0.0021056270227502,0.0889409457064541,1.81197702851022,1.92102411807395,1.98103510872444,2.03984777291437,2.15737601990591,1784.18792118641,0.999369788951615
"mu2[116]",2.42591397195835,0.00171109833237879,0.0777685007047665,2.27237232054905,2.37456328975443,2.42412618676115,2.47543605253419,2.5805416955543,2065.65370600406,1.00169556555092
"mu2[117]",3.43226259655304,0.00163614567618904,0.0896153894213281,3.2519112275442,3.3728785625583,3.43425630996552,3.49270934581722,3.60673256868272,3000,1.00032968370407
"mu2[118]",2.21046986440758,0.00285692957952321,0.130381873187569,2.02018894931775,2.12688329690941,2.1927531076889,2.26753486694916,2.53570779099885,2082.74145474009,1.00316181866801
"mu2[119]",2.74977980545661,0.0032423441764083,0.108147316457796,2.58043929121541,2.68475257154442,2.74067950648282,2.80175961172287,2.97196113277489,1112.53393730218,1.00129535757223
"mu2[120]",2.25086251330069,0.00332218849647908,0.113372631957938,2.06731413965224,2.18020437493457,2.24078532213118,2.30281791922824,2.52656547784018,1164.57621971275,1.00158865353756
"mu2[121]",2.43563106789407,0.00140660691255069,0.0770430335546708,2.28417859263966,2.38572301079488,2.43434051625076,2.48667824388628,2.58822314596192,3000,1.00008048978113
"mu2[122]",2.25241670383413,0.00404132509574077,0.152096669466278,2.03772115024829,2.14746305910415,2.22129820818637,2.32352954646182,2.63333490377413,1416.41929069614,1.00098940156999
"mu2[123]",3.0406191169125,0.00140473895014165,0.0769407210398705,2.89255588970813,2.98792654676639,3.04194234803105,3.09340808448941,3.19251179579203,3000,1.00020773578917
"mu2[124]",2.50756171321995,0.00247061736179684,0.0871508459330999,2.33580405418133,2.44682070655761,2.50715080691532,2.56630741358458,2.67841334936024,1244.32044203883,1.00037613227244
"mu2[125]",2.48817802081406,0.00172662948881405,0.0799973282840645,2.32833775119477,2.43565111199366,2.48758961413996,2.5414014093736,2.64561878102009,2146.60757685324,0.999557213983764
"mu2[126]",1.57516004834736,0.0028213498363248,0.124032263137359,1.38116462953631,1.49563653244149,1.56056199123462,1.63607382579808,1.86817439476765,1932.65998799112,1.00039527291605
"mu2[127]",1.62765388268833,0.00282824363689827,0.120250550923055,1.43043721592762,1.55037519027588,1.61685635588964,1.69180211129202,1.89626272974595,1807.75891564153,1.00115955715789
"mu2[128]",1.51062217836478,0.00223354826187102,0.122336476630321,1.30962032487564,1.43239328118085,1.49570110117241,1.57351037603618,1.80134044432978,3000,1.00296364323348
"mu2[129]",3.07578929225268,0.00136061795376406,0.0745241145423095,2.92969908053125,3.02672479358482,3.07768195138091,3.12642287829883,3.22200487239787,3000,0.999733714132874
"mu2[130]",2.48691509827695,0.00177476052493076,0.0826770933723449,2.32557175200321,2.43312079675252,2.48426528412343,2.53831065124674,2.6527573093109,2170.15562707235,0.999339487373684
"mu2[131]",2.32128756339224,0.00375306896058296,0.118809299331467,2.12739394917689,2.24722875717972,2.31218960755188,2.37681595918204,2.61387431533582,1002.13857710466,1.00080755801703
"mu2[132]",1.58042817511838,0.00271050910760028,0.11112691889099,1.38236373229262,1.50705549533021,1.57380355128727,1.64739739582245,1.81103959236251,1680.88036752191,1.00119121898768
"mu2[133]",2.21205449490861,0.00294643215064718,0.12575214471663,2.01397157675801,2.12945903596052,2.19573630637871,2.27237495742799,2.52924037382991,1821.53664195741,1.00057322603472
"mu3[1]",-0.508069200038898,0.00306355701101549,0.167797928113629,-0.879941599552683,-0.601152823114009,-0.491994974593195,-0.394114938530904,-0.230456025635494,3000,0.999081379098252
"mu3[2]",-0.662989356188225,0.00420019243204844,0.230054014089541,-1.10236921543051,-0.820111629162995,-0.661539736326603,-0.508660351534236,-0.216759497123995,3000,1.00003441340089
"mu3[3]",-0.112070271991465,0.00268973228646528,0.147322704694698,-0.449520729786381,-0.188977884407924,-0.0956861833543918,-0.0152899409700276,0.140323762916257,3000,1.00074957338308
