"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Castilla elastica","D","T",5.75439937337157,77.6247116628692,7.76247116628692,2.08929613085404,48.3181490973964,29.3065625654728,6.05385122471565,1.64816239152551,NA,"Deciduous"
"Cecropia ficifolia","U","T",2.69153480392692,69.1830970918937,17.7827941003892,1.25892541179417,54.8688104306614,14.3142866612323,3.11268625994784,1.71001531509029,NA,"Unclassified"
"Cecropia longipes","D","T",2.88403150312661,114.815362149688,19.9526231496888,2.51188643150958,99.3767405364856,15.4386216132024,3.32061278432037,NA,NA,"Deciduous"
"Conostephium pendulum","E","S",26.9153480392692,213.796208950223,10.9647819614319,1.81970085860998,85.864490694974,127.931718255249,23.3957644600281,1.97242273611485,NA,"Evergreen"
"Correa reflexa","E","S",11.7489755493953,70.7945784384138,4.46683592150963,0.316227766016838,2.98732430226806,67.8072541361457,13.6861810374285,0.893305483733295,0.0333426412763235,"Evergreen"
"Corymbia gummifera","E","T",14.4543977074593,186.208713666287,12.8824955169313,1.23026877081238,91.8864015370341,94.3223121292529,17.4135857672036,1.5205475297325,0.0561047976032471,"Evergreen"
"Cryptocarya alba","E","T",31.6227766016838,144.543977074593,10.2329299228075,1.34896288259165,41.9294914506786,102.614485623914,19.5421135551666,1.23310483322891,NA,"Evergreen"
"Dasyphyllum diacanthoides","E","T",15.8489319246111,131.825673855641,9.54992586021436,1.02329299228075,44.0192666576975,87.8064071979435,16.7515908163426,1.59220872705117,NA,"Evergreen"
"Desmodium canadense","U","H",2.45470891568503,63.0957344480193,12.0226443461741,0.741310241300917,47.8680977390207,15.2276367089986,3.24816425791594,1.48936107771092,NA,"Unclassified"
"Dodonaea triquetra","E","S",8.12830516164099,95.4992586021436,20.8929613085404,1.02329299228075,54.575374986611,40.9238836155326,8.23271818755891,1.79887091512879,0.0748169500511155,"Evergreen"
"Dodonaea viscosa angustissima","E","S",7.94328234724282,169.824365246174,12.3026877081238,3.31131121482591,126.368698900422,43.4556663457521,8.52315065077016,3.12607936712396,0.189670592121115,"Evergreen"
"Dodonaea viscosa cuneata","E","S",9.77237220955811,112.201845430196,10,1.94984459975805,62.5947072601178,49.6071381700782,9.78711967166757,2.24388192378277,0.110153930954142,"Evergreen"
"Dodonaea viscosa spatulata","E","S",10.2329299228075,131.825673855641,12.8824955169313,1.94984459975805,78.9111546801074,52.9145191755337,10.3466257587926,2.61818300821899,0.151705036745934,"Evergreen"
"Drimys winteri","E","T",32.2458173948273,160.004256160643,8.32645912340181,1.55539059854225,44.3464096151333,115.65784654551,21.7610669868106,1.35412028162515,NA,"Evergreen"
"Echinacea purpurea","U","H",3.98107170553497,77.6247116628692,9.77237220955811,1.34896288259165,53.7834410637049,23.8412705991643,4.91410399596975,1.16680961706096,NA,"Unclassified"
