"sp","site","strata","SLA.leaf","SLA.disc","LL","Amass","Rmass","Amax","LMA.leaf","LMA","Aarea","Aarea.disc","Rarea","Rarea.disc","sp.site.strata","site2","sp_site_strata","site_strata","LMAp","LMAs","preLL","LMA_ra","LMAp_ra","LMAs_ra","preLL_ra","LMA_all","LMAp_all","LMAs_all","LL_all","Aarea_all","Rarea_all","preLL_all","LMAp_pot","LMAs_pot","preLL_pot","LMAp_pot_all","LMAs_pot_all","preLL_pot_all","ADF","NPE","Lig","LT","LD","Narea","Parea","LAMTUF","MDRBTUF","VEINTUF","cell_mass","cell_area","cell_vol"
"CAS3","PNSL","CAN",80.97704677,85.84307894,8.94246575342466,124.2997668,3.769481527,15.35,123.491784386792,116.491627787367,15.3500000009941,14.4798821681221,0.465499999982279,0.439113038994638,"CAS3.PNSL.CAN","WET","CAS3_WET_CAN","WET_CAN",75.2538048043082,41.2378229830583,10.8376208534122,46.7441696717029,16.9896942551161,29.7544754165868,7.97391193707151,19.2398757081403,15.1969346750616,4.04294103307874,10.9479452054795,15.3500000009941,0.465499999982279,5.24412712340755,69.0291060292952,47.4625217580713,9.51070489968692,8.09449506635536,11.145380641785,8.95539358651146,NA,NA,NA,0.3375,0.345160378629234,0.252293715502216,0.0129851611282712,0.45555,3.971275,3.289225,NA,NA,NA
"CAYG","PNSL","CAN",85.99670123,104.0807135,17.2602739726027,70.60329171,15.04942271,8.21,116.283530146753,96.0792798562051,8.21000000001977,6.78351342297437,1.74999999938951,1.44593769622842,"CAYG.PNSL.CAN","WET","CAYG_WET_CAN","WET_CAN",43.0030009390295,53.0762789171756,17.157712292869,149.129125056068,105.127926435024,44.0011986210442,12.1192371754077,21.9095747378514,8.72513086909462,13.1844438687568,5.55616438356164,8.21000000001977,1.74999999938951,4.92824544774841,52.2779777026525,43.8013021535526,9.47815909681442,19.8667279370121,2.04284680083934,8.79594059149722,NA,NA,NA,0.24,0.400330332734188,0.265591582855183,0.0168576233653748,0.7212,3.4757,5.8828,NA,NA,NA
"CECI","PNSL","CAN",81.72130224,123.4032786,7.59452054794521,119.108798,4.02068807,14.575,122.367115132746,81.0351241348623,14.574999998189,9.65199623148424,0.491999999974548,0.32581695686001,"CECI.PNSL.CAN","WET","CECI_WET_CAN","WET_CAN",52.6797016859762,28.3554224488861,7.72629417140113,101.220722674611,35.3974231216769,65.8232995529343,8.51082095366075,24.8225747084702,22.2252354147321,2.59733929373806,17.1945205479452,14.574999998189,0.491999999974548,12.1692302490134,52.8994281890954,28.1356959457669,8.92140205295145,10.2550973432667,14.5674773652035,9.00020330911125,33.39,59.64,15.48,0.28375,0.285586340563391,0.266393209643988,0.0144026094511242,0.576275,4.350825,2.66885,17.91,14.5133907325538,0.0511485135949034
"CES1","PNSL","CAN",112.2480727,136.8363064,10.158904109589,171.458931,13.35752065,15.275,89.0883893100465,73.0800199383341,15.2749999956124,12.5302220960855,1.18999999988419,0.97616787542871,"CES1.PNSL.CAN","WET","CES1_WET_CAN","WET_CAN",47.4022396186019,25.6777803197322,7.01517069601275,87.2557038689327,51.3514164495648,35.9042874193678,8.07990892051688,40.9682016740353,23.5406522788366,17.4275493951987,5.01369863013699,15.2749999956124,1.18999999988419,9.87464333796845,55.295865837887,17.7841541004471,8.51260004692108,30.5391630887867,10.4290385852486,8.83042962495421,44.31,50.73,20.42,0.21,0.348000094944448,0.141650539002974,0.00871818977788115,1.978375,12.7547,5.811775,23.89,17.458816763268,0.0831372226822287
"CLU?","PNSL","CAN",58.06658191,66.49771501,13.841095890411,66.66043603,7.461555775,11.48,172.21609523184,150.381107057531,11.4799999995385,10.0244701671291,1.28499999992509,1.12207701781601,"CLU?.PNSL.CAN","WET","CLU?_WET_CAN","WET_CAN",87.1811157331051,63.199991324426,18.5754649703364,107.958879828137,66.624420860779,41.3344589673584,9.67637330460203,41.129746226344,32.4246099389627,8.7051362873813,17.9013698630137,11.4799999995385,1.28499999992509,6.52814844481027,75.5836673138385,74.7974397436925,10.166795960243,32.2742262819107,8.85551994443334,9.05506230528438,18.69,70.03,7.68,0.41625,0.361275932870946,0.175832633231709,0.0113834838948246,0.518875,5.061125,NA,11.01,16.5569598870342,0.0397764802090911
"COCP","PNSL","CAN",108.4053756,126.3764562,14.6301369863014,139.8429345,11.66441841,12.9,92.2463479753858,79.1286628909286,12.8999999977861,11.0655844217287,1.07599999957936,0.922989832183631,"COCP.PNSL.CAN","WET","COCP_WET_CAN","WET_CAN",38.0142386803021,41.1144242106265,10.1491668758079,140.674859667466,73.8568382830755,66.8180213843901,9.32221211275325,15.608121299586,7.99402517718505,7.61409612240097,17.2602739726027,12.8999999977861,1.07599999957936,10.9402915154189,55.3528061986467,23.7758566922818,8.86807288319643,12.3566366120328,3.25148468755323,9.02099491654471,36.34,55.41,19.27,0.155,0.51050750252212,0.193440591704384,0.00877539508289845,0.6929,3.674975,4.890425,17.07,13.5072627554815,0.0871436306805259
"CORB","PNSL","CAN",85.08030934,95.02157189,9.5013698630137,188.0274836,4.385464545,22.1,117.536008949353,105.239260949885,22.099999995134,19.7878734123307,0.515450000008192,0.461523047637725,"CORB.PNSL.CAN","WET","CORB_WET_CAN","WET_CAN",73.1343086306865,32.1049523191988,7.49502782669131,59.9931202409419,19.5053246798674,40.4877955610744,6.75932834957032,81.0351241348623,17.9696966924301,63.0654274424322,5.03013698630137,22.099999995134,0.515450000008192,9.19341713966969,80.2548176872661,24.9844432626192,8.83096932917132,25.2332361400814,55.8018879947809,8.94611652356555,NA,NA,NA,0.27,0.389775040555131,0.216501328484709,0.0109373133127821,1.196725,4.5094,4.8573,NA,NA,NA
"CYMR","PNSL","CAN",140.6555915,184.5953645,3.32054794520548,83.97138811,12.89811774,5.97,71.0956449960967,54.1725412611864,5.96999999889802,4.54894348714808,0.916999999960897,0.698723815461791,"CYMR.PNSL.CAN","WET","CYMR_WET_CAN","WET_CAN",43.0296367350995,11.1429045260869,6.49783816875663,50.5508348301785,34.7205096282543,15.8303252019243,11.3437158151104,73.0800199383341,31.6535263148091,41.426493623525,9.36986301369863,5.96999999889802,0.916999999960897,26.8631288553863,15.922118927437,38.2504223337495,9.11657109446381,47.878278186768,25.2017417515662,8.99633117891073,NA,NA,NA,0.27,0.200639041708098,0.147239080786916,0.0088940651890117,0.45,2.504,2.5284,NA,NA,NA
"DIOW","PNSL","CAN",197.6215408,160.9787148,5.55616438356164,254.4377337,38.53620045,12.875,50.601771241731,62.1200138939114,12.8749999959519,15.8056755525793,1.94999999969639,2.39386930737255,"DIOW.PNSL.CAN","WET","DIOW_WET_CAN","WET_CAN",52.0324509614016,10.0875629325097,4.52031468362634,115.303002367384,83.2303572484556,32.0726451189283,8.26495419337047,41.0651190684113,27.7648349476756,13.3002841207357,7.03561643835616,12.8749999959519,1.94999999969639,9.78371512076617,44.4451532659012,17.6748606280102,8.30092307673034,36.339757967051,4.72536110136027,8.83001415531215,36.21,54.56,23.54,0.19,0.326947441546902,0.132526038882093,0.00782809401109578,0.3452,2.2197,2.9152,12.67,7.87060576035857,0.0414242408439925
"DOLD","PNSL","CAN",89.96076187,95.89693966,9.02465753424658,84.58560635,1.454215716,9.4025,111.15957437589,104.278614473566,9.40250000019258,8.8204698345845,0.16165000004129,0.151643600010165,"DOLD.PNSL.CAN","WET","DOLD_WET_CAN","WET_CAN",41.6445597454006,62.6340547281658,16.1661678149478,19.2398757081403,4.8093635724909,14.4305121356494,9.88843333898556,96.5625133805468,43.6110793607207,52.9514340198261,44.9753424657534,9.40250000019258,0.16165000004129,14.029162153095,31.9849147462271,72.2936997273393,10.1006805314529,8.58170147305259,87.9808119074942,9.05468785324919,39.03,56,25.13,0.345,0.302256853546569,0.147619914771182,0.00763110478090485,0.4732,4.606875,4.403425,13.9,14.4947274118257,0.0420137026429731
